"web-scraper-order","web-scraper-start-url","name","address","phone","employee","website","Enriched Info"
"1731798933-1","https://www.enfsolar.com/advanced-electrical","Advanced Electrical Limited","Unit 2, Evergreen Venture Park, Barton Road, Wisbech, PE13 4TP","<span onclick=""if (!window.__cfRLUnblockHandlers) return false; h.showCompanyPhone('eyJpdiI6ImNBZzFZR3VcL0k1NlUrd2xYSnFHa2dBPT0iLCJ2YWx1ZSI6IkRKQWczZ1Z3NE5xYzgrZnlIRHpCUnc9PSIsIm1hYyI6IjUzOWMyZjU3M2I1NDljMjMyOWRlNjc4YzQxOWQ2MDUxYzhmNDlkNDQ0Njk0ZDY0ODFjMjdhODlmNWJhNzc2ZmUifQ==', this)"" style=""cursor: pointer;"">
                                Click to show company phone
                            </span>","","www.advancedelectricalltd.co.uk","eyJpdiI6ImNBZzFZR3VcL0k1NlUrd2xYSnFHa2dBPT0iLCJ2YWx1ZSI6IkRKQWczZ1Z3NE5xYzgrZnlIRHpCUnc9PSIsIm1hYyI6IjUzOWMyZjU3M2I1NDljMjMyOWRlNjc4YzQxOWQ2MDUxYzhmNDlkNDQ0Njk0ZDY0ODFjMjdhODlmNWJhNzc2ZmUifQ=="
"1731798935-2","https://www.enfsolar.com/advanced-eco","Advanced Eco Ltd","Unit A6, Sturmer Road Industrial Estate, Haverhill, CB9 7UU","<span onclick=""if (!window.__cfRLUnblockHandlers) return false; h.showCompanyPhone('eyJpdiI6Imd0cXB2XC9hSlJPMUFTZlZcLzFFcWJqQT09IiwidmFsdWUiOiJpbURtXC9PZlE1NWtIY3Z6N1Q1NHo2dz09IiwibWFjIjoiNTgzZjY0NzJkMjYwZGU3MjQ1MWZjNGI5YWM5NmEzZTI3YzYwZTdjNDgyM2Y5NDU4OTgwMmYzZjFkNDgxYzliMSJ9', this)"" style=""cursor: pointer;"">
                                Click to show company phone
                            </span>","","https://www.advancedeco.co.uk","eyJpdiI6Imd0cXB2XC9hSlJPMUFTZlZcLzFFcWJqQT09IiwidmFsdWUiOiJpbURtXC9PZlE1NWtIY3Z6N1Q1NHo2dz09IiwibWFjIjoiNTgzZjY0NzJkMjYwZGU3MjQ1MWZjNGI5YWM5NmEzZTI3YzYwZTdjNDgyM2Y5NDU4OTgwMmYzZjFkNDgxYzliMSJ9"
"1731798937-3","https://www.enfsolar.com/advance-grid-solutions","Advance Grid Solutions Ltd","Hamilton House, Phoenix Crescent, Strathclyde Business Park, Bellshill, ML4 3NJ","<span onclick=""if (!window.__cfRLUnblockHandlers) return false; h.showCompanyPhone('eyJpdiI6IlhyMTk5dHMyMkR3bWxOUWJ2cGRcL2dRPT0iLCJ2YWx1ZSI6IlVaNTlvN1I5RDc3SXVEUk1FWVZjNHc9PSIsIm1hYyI6ImQzMDQyNTZlNzA5NTFlZTNkNDg3M2RlZDM3YjhlZDdmNWY1ZDcxMzFhMTQ0M2Y5NzMyNWJhYTk2M2NjY2E5NzEifQ==', this)"" style=""cursor: pointer;"">
                                Click to show company phone
                            </span>","","https://www.advancegrid.co.uk","eyJpdiI6IlhyMTk5dHMyMkR3bWxOUWJ2cGRcL2dRPT0iLCJ2YWx1ZSI6IlVaNTlvN1I5RDc3SXVEUk1FWVZjNHc9PSIsIm1hYyI6ImQzMDQyNTZlNzA5NTFlZTNkNDg3M2RlZDM3YjhlZDdmNWY1ZDcxMzFhMTQ0M2Y5NzMyNWJhYTk2M2NjY2E5NzEifQ=="
"1731798940-4","https://www.enfsolar.com/ads-1","ADS Electrical Shrewsbury Ltd","Home Farm, Yockleton, Stoney Stretton, Shrewsbury, SY5 9PZ","<span onclick=""if (!window.__cfRLUnblockHandlers) return false; h.showCompanyPhone('eyJpdiI6ImtHMFExeCt1M3JEXC9ZUjUrR0xBV2pRPT0iLCJ2YWx1ZSI6IlFyYlpVV3dmc2x2NkhEV1FUWDBtY2c9PSIsIm1hYyI6Ijk4ZTJjMzk1NmViZmFkZDFjNjdmZTIyOWVmNjYxZGQ1Y2Y2YzFjOTU4YzYyMjQ4MTI4MTU2MzZmY2Q5YWIyNzcifQ==', this)"" style=""cursor: pointer;"">
                                Click to show company phone
                            </span>","","https://ads-electrical.co.uk","eyJpdiI6ImtHMFExeCt1M3JEXC9ZUjUrR0xBV2pRPT0iLCJ2YWx1ZSI6IlFyYlpVV3dmc2x2NkhEV1FUWDBtY2c9PSIsIm1hYyI6Ijk4ZTJjMzk1NmViZmFkZDFjNjdmZTIyOWVmNjYxZGQ1Y2Y2YzFjOTU4YzYyMjQ4MTI4MTU2MzZmY2Q5YWIyNzcifQ=="
"1731798943-5","https://www.enfsolar.com/adm-roofing","ADM Roofing Ltd","4 Woodside Place, Charing Cross, G3 7QF","<span onclick=""if (!window.__cfRLUnblockHandlers) return false; h.showCompanyPhone('eyJpdiI6IkhianFoaVwvcWJiNktSbkdoZHZzVWpBPT0iLCJ2YWx1ZSI6IjBNQmdieWJScDF2K1dGcEVQU3JPekE9PSIsIm1hYyI6ImFiMDA3ZmIxMGY5YjM2MzRmMGE3ZDJjNTJiOGU5Yjk4NzMwZGZhMzg0NmIwOWM2ODdlNTdhYTQ4OTc0YTQ0NjAifQ==', this)"" style=""cursor: pointer;"">
                                Click to show company phone
                            </span>","","https://www.admroofingscotland.co.uk","eyJpdiI6IkhianFoaVwvcWJiNktSbkdoZHZzVWpBPT0iLCJ2YWx1ZSI6IjBNQmdieWJScDF2K1dGcEVQU3JPekE9PSIsIm1hYyI6ImFiMDA3ZmIxMGY5YjM2MzRmMGE3ZDJjNTJiOGU5Yjk4NzMwZGZhMzg0NmIwOWM2ODdlNTdhYTQ4OTc0YTQ0NjAifQ=="
"1731798945-6","https://www.enfsolar.com/adfield-electrical","Adfield Electrical","15 The Saltings, Littlehampton, BN17 6RR","<span onclick=""if (!window.__cfRLUnblockHandlers) return false; h.showCompanyPhone('eyJpdiI6IjY5TW9oUGJtN1RjTnd6V0M0aExKbFE9PSIsInZhbHVlIjoiSzBYZHRuVVd1bXNQU1dXelwvNElTRVE9PSIsIm1hYyI6IjJhNjllODJhZDQ4MDM0MGMzNmVlYjlmNzI3YWRjZjk2NTZlMmQyYjUzYTY5NDg0YjQ0NTdkZWUzN2ZlNmZhNzYifQ==', this)"" style=""cursor: pointer;"">
                                Click to show company phone
                            </span>","","adfieldelectrical.co.uk","eyJpdiI6IjY5TW9oUGJtN1RjTnd6V0M0aExKbFE9PSIsInZhbHVlIjoiSzBYZHRuVVd1bXNQU1dXelwvNElTRVE9PSIsIm1hYyI6IjJhNjllODJhZDQ4MDM0MGMzNmVlYjlmNzI3YWRjZjk2NTZlMmQyYjUzYTY5NDg0YjQ0NTdkZWUzN2ZlNmZhNzYifQ=="
"1731798947-7","https://www.enfsolar.com/adept-renewables","Adept Renewables","Unit D8, Arena Business Centre, Holyrood Close, Poole, BH17 7FJ","<span onclick=""if (!window.__cfRLUnblockHandlers) return false; h.showCompanyPhone('eyJpdiI6IjQyb1pReWRsaWlobTUzU1kwR0VBcGc9PSIsInZhbHVlIjoidlR3QnJkUng1UElydEpuMUNmeUVDUT09IiwibWFjIjoiOTI5ZDc3OGU3M2Y4ZTkwNTQwMTkzMTVlMDM0NDllMDQ5NGYyZDk2NzhiNjg3OTE2ZDVkYzZkMGExNTkxYWRlMiJ9', this)"" style=""cursor: pointer;"">
                                Click to show company phone
                            </span>","","https://www.adeptrenewables.com","eyJpdiI6IjQyb1pReWRsaWlobTUzU1kwR0VBcGc9PSIsInZhbHVlIjoidlR3QnJkUng1UElydEpuMUNmeUVDUT09IiwibWFjIjoiOTI5ZDc3OGU3M2Y4ZTkwNTQwMTkzMTVlMDM0NDllMDQ5NGYyZDk2NzhiNjg3OTE2ZDVkYzZkMGExNTkxYWRlMiJ9"
"1731798949-8","https://www.enfsolar.com/addisons-electrical","Addisons Electrical and Security Contracting Ltd","Willow Bridge Mills, Dalton, Thirsk, YO7 3BN","<span onclick=""if (!window.__cfRLUnblockHandlers) return false; h.showCompanyPhone('eyJpdiI6IkVkTGU4NVVycEtXS1pyWVlJNHFJU3c9PSIsInZhbHVlIjoid2g4WngwYjdGclpUVE8rdkpHU3RjQT09IiwibWFjIjoiYzc4YWIzODgwZDA3OTI1NzdiMGYzM2E1YzgyNGQ0YmJiNWMxZjg4ZWFiODY1ODU5ZTNhOGU1MTMzMjkwN2NmNCJ9', this)"" style=""cursor: pointer;"">
                                Click to show company phone
                            </span>","","https://addisonselectricalandsecurity.com","eyJpdiI6IkVkTGU4NVVycEtXS1pyWVlJNHFJU3c9PSIsInZhbHVlIjoid2g4WngwYjdGclpUVE8rdkpHU3RjQT09IiwibWFjIjoiYzc4YWIzODgwZDA3OTI1NzdiMGYzM2E1YzgyNGQ0YmJiNWMxZjg4ZWFiODY1ODU5ZTNhOGU1MTMzMjkwN2NmNCJ9"
"1731798952-9","https://www.enfsolar.com/adams-electrics","Adams Electrics Ltd","8 Applegarth Ave, Newton, Abbot, TQ12 1RP","<span onclick=""if (!window.__cfRLUnblockHandlers) return false; h.showCompanyPhone('eyJpdiI6Im9TR3E4SkUzZk1maWNRTUNnN1RWNkE9PSIsInZhbHVlIjoid2ZEVkpOQmZ0MndrSTJlNXZcL2xEMGc9PSIsIm1hYyI6IjZlMTU5NDFlZGE1ODZmY2NjYjJkZmNjZDMzNzBkNjk0OTcwNTYyNmZiMDQxMGNmMDk2MmQzZWFmM2ZlMTFhYTgifQ==', this)"" style=""cursor: pointer;"">
                                Click to show company phone
                            </span>","","https://www.adamselectrics.co.uk","eyJpdiI6Im9TR3E4SkUzZk1maWNRTUNnN1RWNkE9PSIsInZhbHVlIjoid2ZEVkpOQmZ0MndrSTJlNXZcL2xEMGc9PSIsIm1hYyI6IjZlMTU5NDFlZGE1ODZmY2NjYjJkZmNjZDMzNzBkNjk0OTcwNTYyNmZiMDQxMGNmMDk2MmQzZWFmM2ZlMTFhYTgifQ=="
"1731798954-10","https://www.enfsolar.com/ad-electrical-1","AD Electrical Services Ltd,","62 Cavendish Road, Eastbourne, East Sussex, BN21 3RL","<span onclick=""if (!window.__cfRLUnblockHandlers) return false; h.showCompanyPhone('eyJpdiI6ImtzSU91QVc5Y0MwcklZWVhab25aVmc9PSIsInZhbHVlIjoiK0VUWnVRVmdcL0xYRDQzeFkyTzZ1R0E9PSIsIm1hYyI6ImVmOGZhN2I0MjdhMWNmNTVjZWMxZTFkNmY5MjJhOTI1YTA0OTUxYmJhYjg5ZGQ2NGJlZmVjYTBjMjZkNzM3MDEifQ==', this)"" style=""cursor: pointer;"">
                                Click to show company phone
                            </span>","","https://www.adelectricalservices.co.uk","eyJpdiI6ImtzSU91QVc5Y0MwcklZWVhab25aVmc9PSIsInZhbHVlIjoiK0VUWnVRVmdcL0xYRDQzeFkyTzZ1R0E9PSIsIm1hYyI6ImVmOGZhN2I0MjdhMWNmNTVjZWMxZTFkNmY5MjJhOTI1YTA0OTUxYmJhYjg5ZGQ2NGJlZmVjYTBjMjZkNzM3MDEifQ=="
